0, 990205
1000, 990205
2000, 990205
3000, 990205
4000, 990206
5000, 990206
6000, 990206
7000, 990207
8000, 990208
9000, 990208
10000, 990209
11000, 990210
12000, 990211
13000, 990212
14000, 990214
15000, 990215
16000, 990216
17000, 990218
18000, 990220
19000, 990221
20000, 990223
21000, 990225
22000, 990227
23000, 990229
24000, 990231
25000, 990234
26000, 990236
27000, 990238
28000, 990241
29000, 990244
30000, 990246
31000, 990249
32000, 990252
33000, 990255
34000, 990258
35000, 990262
36000, 990265
37000, 990269
38000, 990272
39000, 990276
40000, 990280
41000, 990284
42000, 990288
43000, 990292
44000, 990296
45000, 990300
46000, 990305
47000, 990309
48000, 990314
49000, 990319
